department,total_items,unique_orders,reorder_rate_pct
produce,9479291,2409320,65.0
dairy eggs,5414016,2177338,67.0
snacks,2887550,1391447,57.4
beverages,2690129,1457351,65.3
frozen,2236432,1181018,54.2
pantry,1875577,1117892,34.7
bakery,1176787,881556,62.8
canned goods,1068058,681305,45.7
deli,1051249,770300,60.8
dry goods pasta,866627,597862,46.1
household,738666,470780,40.2
breakfast,709569,525188,56.1
meat seafood,708931,574731,56.8
personal care,447123,318555,32.1
babies,423802,177712,57.9
international,269253,221537,36.9
alcohol,153696,84689,57.0
pets,97724,59282,60.1
missing,69145,59477,39.6
other,36291,35056,40.8
bulk,34573,33802,57.7
